generator_name,count,tp,fp,fn,tn,precision,recall,f1,accuracy
dalle3,70,69,0,1,0,1.0,0.985714,0.992806,0.985714
hidream_i1,46,42,0,4,0,1.0,0.913043,0.954545,0.913043
ideogram_v2,47,31,0,16,0,1.0,0.659574,0.794872,0.659574
imagen4,37,30,0,7,0,1.0,0.810811,0.895522,0.810811
midjourney,52,48,0,4,0,1.0,0.923077,0.96,0.923077
none,524,0,17,0,507,0.0,0.0,0.0,0.967557
openai_4o,52,40,0,12,0,1.0,0.769231,0.869565,0.769231
recraft_v2,41,37,0,4,0,1.0,0.902439,0.948718,0.902439
sd21,64,53,0,11,0,1.0,0.828125,0.905983,0.828125
sd3,55,46,0,9,0,1.0,0.836364,0.910891,0.836364
sdxl,61,52,0,9,0,1.0,0.852459,0.920354,0.852459
